time,close,high,low,open,volume
1483228740,968.29,968.29,968.29,968.29,0
1483228800,968.7,968.76,968.49,968.29,12993
1483228860,968.43,968.7,967.2,968.7,73800
1483228920,967.21,968,967.21,968.43,3500
1483228980,966.97,967.21,966.74,967.21,15969
1483229040,966.97,966.97,966.97,966.97,300
1483229100,967,967,967,966.97,13231
1483229160,966.89,966.89,966.89,967,500
1483229220,966.89,966.89,966.89,966.89,0
1483229280,966.89,966.89,966.89,966.89,0
1483229340,966.89,966.89,966.89,966.89,0
1483229400,966.89,966.89,966.89,966.89,0
1483229460,966.05,966.64,966.05,966.89,12900
1483229520,965,965.86,964.99,966.05,103237
1483229580,965,965,965,965,0
1483229640,964.86,964.86,964.86,965,8000
1483229700,964.86,964.86,964.86,964.86,0
1483229760,964.99,964.99,964.99,964.86,3000
1483229820,964.8,964.8,964.8,964.99,1
1483229880,964.8,964.8,964.8,964.8,0
1483229940,964.8,964.8,964.8,964.8,0
1483230000,964.8,964.8,964.8,964.8,0
1483230060,964.8,964.8,964.8,964.8,0
1483230120,964.8,964.8,964.8,964.8,0
1483230180,964.8,964.8,964.8,964.8,0
1483230240,964.8,964.8,964.8,964.8,0
1483230300,964.8,964.8,964.8,964.8,0
1483230360,965.08,965.09,965.08,964.8,5000
1483230420,964.54,964.78,964.54,965.08,35000
1483230480,964.54,964.54,964.54,964.54,0
1483230540,964.91,964.92,964.91,964.54,8000
1483230600,964.91,964.91,964.91,964.91,0
1483230660,964.91,964.91,964.91,964.91,0
1483230720,964.92,964.92,964.92,964.91,2500
1483230780,964.92,964.92,964.92,964.92,0
1483230840,965.01,965.01,965.01,964.92,1
1483230900,967.38,967.38,965.57,965.01,59000
1483230960,965.88,965.88,965.88,967.38,1
1483231020,967.65,967.65,967.64,965.88,3000
1483231080,967.77,967.77,967.77,967.65,7000
1483231140,967.82,967.82,967.81,967.77,2500
1483231200,967.82,967.82,967.82,967.82,0
1483231260,967.82,967.82,967.82,967.82,0
1483231320,967.82,967.82,967.82,967.82,0
1483231380,967.82,967.82,967.82,967.82,0
1483231440,967.08,967.08,967.08,967.82,50
1483231500,967.4,967.4,967.4,967.08,50
1483231560,967.4,967.4,967.4,967.4,0
1483231620,967.4,967.4,967.4,967.4,0
1483231680,967.4,967.4,967.4,967.4,0
1483231740,967.4,967.4,967.4,967.4,0
1483231800,967.4,967.4,967.4,967.4,0
1483231860,967.4,967.4,967.4,967.4,0
1483231920,967.4,967.4,967.4,967.4,0
1483231980,967.9,967.9,967.87,967.4,7000
1483232040,968.08,968.08,967.9,967.9,7000
1483232100,968.08,968.08,968.08,968.08,0
1483232160,966.89,966.89,966.89,968.08,1
1483232220,968,968,968,966.89,1001
1483232280,967.62,967.62,967.62,968,1
1483232340,968,968,968,967.62,5
1483232400,968,968,968,968,0
1483232460,968,968,968,968,0
1483232520,968,968,968,968,0
1483232580,968.1,968.1,968.09,968,1002
1483232640,968.1,968.1,968.1,968.1,0
1483232700,968.1,968.1,968.1,968.1,0
1483232760,968.1,968.1,968.1,968.1,0
1483232820,967.62,967.62,967.62,968.1,2500
1483232880,967.98,967.98,967.98,967.62,1000
1483232940,967.62,967.96,967.62,967.98,1700
1483233000,967,967.7,967,967.62,27888
1483233060,967,967,967,967,1500
1483233120,967,967,967,967,0
1483233180,967,967,967,967,1100
1483233240,966.29,967,966.29,967,4988
1483233300,966.28,966.29,966.28,966.29,3068
1483233360,966.28,966.28,966.28,966.28,0
1483233420,966.28,966.28,966.28,966.28,0
1483233480,966.28,966.28,966.28,966.28,0
1483233540,966.28,966.28,966.28,966.28,0
1483233600,966.28,966.28,966.28,966.28,0
1483233660,966.28,966.28,966.28,966.28,0
1483233720,966,966.29,966,966.28,5000
1483233780,965,966.65,965,966,11271
1483233840,965,966.66,965,965,14200
1483233900,964.09,965.01,964.09,965,76593
1483233960,964,964,964,964.09,1120
1483234020,964,964,964,964,60
1483234080,964,964,964,964,111
1483234140,964,964,964,964,0
1483234200,964.76,964.76,964.76,964,500
1483234260,964.76,964.76,964.76,964.76,0
1483234320,964.76,964.76,964.76,964.76,0
1483234380,964.76,964.76,964.76,964.76,0
1483234440,964.76,964.76,964.76,964.76,0
1483234500,964.76,964.76,964.76,964.76,0
1483234560,964.76,964.76,964.76,964.76,0
1483234620,964.85,967.48,964.69,964.76,107021
1483234680,966.25,966.25,964.85,964.85,529
1483234740,965,965.11,965,966.25,26579
1483234800,964.5,965,964.5,965,2500
1483234860,963.99,964.22,963.87,964.5,45976
1483234920,963.99,963.99,963.99,963.99,0
1483234980,964,964.01,964,963.99,1200
1483235040,963.67,963.83,963.67,964,10000
1483235100,963.67,963.67,963.67,963.67,0
1483235160,963.67,963.67,963.67,963.67,0
1483235220,963.67,963.67,963.67,963.67,0
1483235280,963.67,963.67,963.67,963.67,0
1483235340,963.67,963.67,963.67,963.67,0
1483235400,963.66,963.66,963.66,963.67,500
1483235460,963.66,963.66,963.66,963.66,0
1483235520,964.55,964.56,964.55,963.66,5031
1483235580,964.55,964.55,964.55,964.55,0
1483235640,964.55,964.55,964.55,964.55,0
1483235700,963.4,963.43,963.4,964.55,3000
1483235760,963.4,963.4,963.4,963.4,0
1483235820,963.4,963.4,963.4,963.4,0
1483235880,963.4,963.4,963.4,963.4,0
1483235940,963.4,963.4,963.4,963.4,0
1483236000,963.4,963.4,963.4,963.4,0
1483236060,963.4,963.4,963.4,963.4,0
1483236120,964.6,964.6,964.6,963.4,1101
1483236180,964.6,964.6,964.6,964.6,200
1483236240,964.6,964.6,964.6,964.6,0
1483236300,964.6,964.6,964.6,964.6,0
1483236360,964.6,964.6,964.6,964.6,0
1483236420,964.6,964.6,964.6,964.6,0
1483236480,964.6,964.6,964.6,964.6,0
1483236540,964.6,964.6,964.6,964.6,0
1483236600,964.6,964.6,964.6,964.6,0
1483236660,964.11,964.49,964,964.6,49954
1483236720,964.11,964.11,964.11,964.11,0
1483236780,964.11,964.11,964.11,964.11,0
1483236840,964.11,964.11,964.11,964.11,0
1483236900,964.6,964.6,964.59,964.11,5000
1483236960,964.6,964.6,964.6,964.6,0
1483237020,964.6,964.6,964.6,964.6,0
1483237080,964.6,964.6,964.6,964.6,0
1483237140,964.6,964.6,964.6,964.6,0
1483237200,964.6,964.6,964.6,964.6,0
1483237260,964.6,964.6,964.6,964.6,0
1483237320,964.6,964.6,964.6,964.6,0
1483237380,964.6,964.6,964.6,964.6,0
1483237440,964.6,964.6,964.6,964.6,0
1483237500,964.6,964.6,964.6,964.6,0
1483237560,964.51,964.51,964.51,964.6,2000
1483237620,964.51,964.51,964.51,964.51,0
1483237680,964.51,964.51,964.51,964.51,0
1483237740,964.51,964.51,964.51,964.51,0
1483237800,964.51,964.51,964.51,964.51,0
1483237860,964.51,964.51,964.51,964.51,0
1483237920,964.51,964.51,964.51,964.51,0
1483237980,964.51,964.51,964.51,964.51,0
1483238040,964.51,964.51,964.51,964.51,0
1483238100,964.51,964.51,964.51,964.51,0
1483238160,963.33,964.34,963.23,964.51,16666
1483238220,963.33,963.33,963.33,963.33,0
1483238280,963.33,963.33,963.33,963.33,0
1483238340,963.99,963.99,963.99,963.33,1
1483238400,963.99,963.99,963.99,963.99,0
1483238460,963.99,963.99,963.99,963.99,0
1483238520,963.66,963.66,963.65,963.99,10000
1483238580,963.66,963.66,963.66,963.66,0
1483238640,963.66,963.66,963.66,963.66,0
1483238700,963.79,963.79,963.79,963.66,5000
1483238760,963.79,963.79,963.79,963.79,0
1483238820,963.97,963.97,963.97,963.79,500
1483238880,964.26,964.26,963.16,963.97,70000
1483238940,964.26,964.26,964.26,964.26,0
1483239000,964.26,964.26,964.26,964.26,0
1483239060,964.26,964.26,964.26,964.26,0
1483239120,964.26,964.26,964.26,964.26,0
1483239180,964.26,964.26,964.26,964.26,0
1483239240,964.26,964.26,964.26,964.26,0
1483239300,964.26,964.26,964.26,964.26,0
1483239360,964.26,964.26,964.26,964.26,0
1483239420,964.26,964.26,964.26,964.26,0
1483239480,964.26,964.26,964.26,964.26,0
1483239540,964.26,964.26,964.26,964.26,0
1483239600,964.26,964.26,964.26,964.26,0
1483239660,964.26,964.26,964.26,964.26,0
1483239720,964.26,964.26,964.26,964.26,0
1483239780,964.61,964.61,963.98,964.26,13000
1483239840,964.61,964.61,964.61,964.61,0
1483239900,964.61,964.61,964.61,964.61,0
1483239960,964.61,964.61,964.61,964.61,0
1483240020,964.61,964.61,964.61,964.61,0
1483240080,964.61,964.61,964.61,964.61,0
1483240140,964.61,964.61,964.61,964.61,0
1483240200,964.61,964.61,964.61,964.61,0
1483240260,964.61,964.61,964.61,964.61,0
1483240320,964.61,964.61,964.61,964.61,0
1483240380,964.61,964.61,964.61,964.61,0
1483240440,964.61,964.61,964.61,964.61,0
1483240500,964.61,964.61,964.61,964.61,0
1483240560,964.61,964.61,964.61,964.61,0
1483240620,964.61,964.61,964.61,964.61,0
1483240680,964.61,964.61,964.61,964.61,0
1483240740,964.61,964.61,964.61,964.61,0
1483240800,964.61,964.61,964.61,964.61,0
1483240860,964.82,964.82,964.48,964.61,16666
